,Court,Surface,Round,PlayerA,PlayerA_Pts,PA_B365,PA_EX,PA_LB,PA_PS,PA_MaxBet,PA_AvgBet,PlayerB,PlayerB_Pts,PB_B365,PB_EX,PB_LB,PB_PS,PB_MaxBet,PB_AvgBet,Rank_Diff,Pt_Diff
11204,1,3,8,28.0,1242.0,4.5,4.0,4.5,4.75,4.75,4.44,10.0,2930.0,1.2,1.2,1.2,1.24,1.24,1.21,18.0,-1688.0
11205,1,1,1,77.0,695.0,4.5,4.55,4.0,4.65,4.65,4.43,42.0,1010.0,1.18,1.17,1.22,1.24,1.24,1.2,35.0,-315.0
11206,1,1,2,118.0,457.0,4.5,4.25,4.33,5.17,5.17,4.56,6.0,3945.0,1.16,1.2,1.2,1.21,1.21,1.19,112.0,-3488.0
11207,1,3,5,336.0,115.0,4.5,4.0,4.33,4.69,4.69,4.38,79.0,651.0,1.16,1.22,1.2,1.24,1.24,1.21,257.0,-536.0
11208,0,1,1,70.0,695.0,4.5,4.35,4.0,5.22,5.22,4.52,35.0,1090.0,1.18,1.18,1.22,1.19,1.22,1.19,35.0,-395.0
11209,0,1,7,41.0,973.0,4.5,4.0,4.33,4.6,4.6,4.36,7.0,4210.0,1.18,1.22,1.22,1.25,1.25,1.22,34.0,-3237.0
11210,0,1,1,75.0,686.0,4.5,4.25,4.33,4.93,4.93,4.5,18.0,1815.0,1.18,1.2,1.2,1.21,1.21,1.2,57.0,-1129.0
11211,0,1,2,132.0,403.0,4.5,4.5,4.5,4.05,4.5,4.39,7.0,4210.0,1.18,1.18,1.17,1.29,1.29,1.21,125.0,-3807.0
11212,0,1,8,47.0,940.0,4.5,4.0,4.0,4.61,4.61,4.28,8.0,3805.0,1.2,1.22,1.25,1.25,1.25,1.23,39.0,-2865.0
11213,0,1,8,50.0,870.0,4.5,3.75,4.0,4.2,4.5,4.11,10.0,2705.0,1.2,1.25,1.22,1.28,1.28,1.24,40.0,-1835.0
11214,1,1,3,101.0,564.0,4.5,4.25,4.33,4.78,4.78,4.47,7.0,3860.0,1.18,1.2,1.2,1.23,1.23,1.2,94.0,-3296.0
11215,0,1,6,5.0,6030.0,4.5,4.25,5.0,4.75,5.0,4.63,2.0,9465.0,1.18,1.2,1.17,1.23,1.23,1.2,3.0,-3435.0
11216,1,1,2,21.0,1765.0,4.5,3.75,4.0,4.96,4.96,4.3,1.0,12390.0,1.16,1.25,1.22,1.22,1.25,1.21,20.0,-10625.0
11217,1,1,2,41.0,949.0,4.5,4.25,4.5,4.44,4.5,4.42,10.0,2915.0,1.16,1.2,1.167,1.259,1.26,1.2,31.0,-1966.0
11218,1,2,2,34.0,1210.0,4.5,3.75,3.75,4.58,4.58,4.15,9.0,2970.0,1.18,1.23,1.25,1.24,1.25,1.23,25.0,-1760.0
11219,1,1,5,67.0,710.0,4.5,4.0,4.33,4.64,4.64,4.37,18.0,1765.0,1.18,1.22,1.2,1.24,1.24,1.21,49.0,-1055.0
11220,0,1,2,87.0,628.0,4.5,4.3,4.33,4.85,4.85,4.5,16.0,1760.0,1.18,1.2,1.22,1.22,1.22,1.21,71.0,-1132.0
11221,1,1,1,251.0,191.0,4.5,4.75,4.33,5.11,5.11,4.67,77.0,666.0,1.18,1.16,1.2,1.2,1.2,1.19,174.0,-475.0
11222,1,2,5,11.0,2985.0,4.5,4.5,4.5,5.13,5.13,4.66,4.0,5390.0,1.2,1.18,1.2,1.21,1.21,1.2,7.0,-2405.0
11223,1,2,2,86.0,593.0,4.5,4.25,4.5,4.9,4.9,4.54,10.0,3005.0,1.16,1.2,1.17,1.22,1.22,1.19,76.0,-2412.0
11224,0,1,7,7.0,4355.0,4.5,4.3,4.5,4.8,4.8,4.53,1.0,11510.0,1.2,1.2,1.2,1.23,1.23,1.21,6.0,-7155.0
11225,1,2,3,67.0,720.0,4.5,4.3,4.0,5.05,5.05,4.46,8.0,3950.0,1.18,1.2,1.22,1.22,1.22,1.21,59.0,-3230.0
11226,1,2,2,1184.0,6.0,4.5,4.4,4.0,4.46,4.5,4.34,129.0,421.0,1.18,1.18,1.22,1.25,1.25,1.21,1055.0,-415.0
11227,1,2,2,35.0,1130.0,4.5,4.5,4.5,4.54,4.54,4.51,2.0,8635.0,1.2,1.18,1.17,1.24,1.24,1.2,33.0,-7505.0
11228,1,2,2,116.0,470.0,4.5,4.5,4.0,4.65,4.65,4.41,29.0,1195.0,1.18,1.18,1.22,1.24,1.24,1.21,87.0,-725.0
11229,1,2,2,117.0,477.0,4.5,4.3,4.33,4.77,4.77,4.48,63.0,791.0,1.18,1.18,1.2,1.23,1.23,1.2,54.0,-314.0
11230,1,3,1,171.0,297.0,4.5,4.25,4.5,4.87,4.87,4.53,30.0,1215.0,1.18,1.2,1.17,1.21,1.21,1.19,141.0,-918.0
11231,1,2,3,35.0,1205.0,4.5,4.25,3.75,4.68,4.68,4.3,8.0,4595.0,1.16,1.2,1.25,1.24,1.25,1.21,27.0,-3390.0
11232,1,3,2,57.0,765.0,4.5,4.25,4.5,5.0,5.0,4.56,56.0,776.0,1.18,1.2,1.17,1.21,1.21,1.19,1.0,-11.0
11233,1,3,2,131.0,402.0,4.5,3.75,4.33,4.26,4.5,4.21,39.0,1015.0,1.18,1.25,1.2,1.27,1.27,1.23,92.0,-613.0
