,Court,Surface,Round,PlayerA,PlayerA_Pts,PA_B365,PA_EX,PA_LB,PA_PS,PA_MaxBet,PA_AvgBet,PlayerB,PlayerB_Pts,PB_B365,PB_EX,PB_LB,PB_PS,PB_MaxBet,PB_AvgBet,Rank_Diff,Pt_Diff
0,1,1,1,94.0,570.0,1.05,1.15,1.08,1.06,1.15,1.09,86.0,617.0,11.0,5.0,7.0,10.73,11.0,8.43,8.0,-47.0
1,1,3,8,1350.0,8390.0,1.08,1.12,1.1,1.11,1.12,1.1,32.0,2.0,7.5,5.5,6.5,8.33,8.33,6.96,1318.0,8388.0
2,1,1,2,166.0,335.0,1.08,1.11,1.11,1.1,1.11,1.1,76.0,626.0,7.0,6.0,6.0,8.4,8.4,6.85,90.0,-291.0
3,1,3,1,55.0,814.0,1.08,1.13,1.12,1.1,1.13,1.11,52.0,870.0,7.5,5.5,5.5,8.4,8.4,6.73,3.0,-56.0
4,1,1,1,74.0,700.0,1.1,1.12,1.12,1.13,1.13,1.12,68.0,730.0,7.0,5.8,5.5,7.35,7.35,6.41,6.0,-30.0
5,1,2,5,5.0,5985.0,1.1,1.08,1.07,1.12,1.12,1.09,4.0,6920.0,7.0,7.0,8.0,7.76,8.0,7.44,1.0,-935.0
6,1,3,2,75.0,670.0,1.11,1.13,1.12,1.13,1.13,1.12,36.0,1125.0,6.5,5.5,5.5,7.04,7.04,6.14,39.0,-455.0
7,1,3,2,54.0,880.0,1.11,1.08,1.11,1.08,1.11,1.1,48.0,940.0,6.5,5.75,6.5,11.17,11.17,7.48,6.0,-60.0
8,0,1,5,298.0,155.0,1.11,1.16,1.14,1.14,1.16,1.14,107.0,506.0,6.0,4.75,5.0,7.21,7.21,5.74,191.0,-351.0
9,1,3,2,71.0,685.0,1.12,1.2,1.17,1.17,1.2,1.17,56.0,874.0,5.5,4.25,4.5,5.94,5.94,5.05,15.0,-189.0
10,1,2,1,111.0,533.0,1.12,1.16,1.2,1.16,1.2,1.16,82.0,631.0,6.0,5.0,4.33,6.1,6.1,5.36,29.0,-98.0
11,1,1,1,98.0,563.0,1.12,1.15,1.14,1.15,1.15,1.14,50.0,830.0,6.0,5.0,5.0,6.16,6.16,5.54,48.0,-267.0
12,1,1,2,90.0,565.0,1.12,1.15,1.13,1.19,1.19,1.15,16.0,2055.0,5.5,5.0,5.5,5.57,5.57,5.39,74.0,-1490.0
13,1,3,1,84.0,606.0,1.12,1.11,1.1,1.12,1.12,1.11,79.0,625.0,6.0,6.0,6.5,7.2,7.2,6.43,5.0,-19.0
14,1,1,5,166.0,335.0,1.12,1.18,1.14,1.2,1.2,1.16,40.0,1064.0,5.5,4.5,5.0,5.33,5.5,5.08,126.0,-729.0
15,1,2,5,68.0,715.0,1.12,1.18,1.14,1.19,1.19,1.16,60.0,741.0,5.5,4.5,5.0,5.65,5.65,5.16,8.0,-26.0
16,1,2,1,45.0,1000.0,1.12,1.12,1.14,1.17,1.17,1.14,29.0,1290.0,6.0,5.75,5.0,6.02,6.02,5.69,16.0,-290.0
17,1,3,1,118.0,505.0,1.12,1.13,1.14,1.15,1.15,1.14,72.0,707.0,6.0,5.5,5.0,6.16,6.16,5.67,46.0,-202.0
18,1,1,1,103.0,507.0,1.12,1.14,1.143,1.128,1.14,1.13,78.0,608.0,5.5,5.2,5.0,7.51,7.51,5.8,25.0,-101.0
19,0,1,2,63.0,770.0,1.12,1.1,1.12,1.13,1.13,1.12,41.0,1019.0,6.0,5.25,6.0,7.05,7.05,6.08,22.0,-249.0
20,1,3,2,95.0,561.0,1.14,1.16,1.14,1.17,1.17,1.15,87.0,593.0,5.5,4.75,5.0,5.98,5.98,5.31,8.0,-32.0
21,1,2,1,32.0,1265.0,1.14,1.18,1.2,1.18,1.2,1.18,13.0,2285.0,5.0,4.5,4.33,5.57,5.57,4.85,19.0,-1020.0
22,1,2,1,86.0,605.0,1.14,1.15,1.17,1.2,1.2,1.17,59.0,769.0,5.0,5.07,4.5,5.49,5.49,5.02,27.0,-164.0
23,1,1,1,73.0,716.0,1.14,1.15,1.17,1.17,1.17,1.16,70.0,730.0,5.5,5.0,4.5,5.98,5.98,5.25,3.0,-14.0
24,1,3,1,74.0,670.0,1.14,1.18,1.2,1.21,1.21,1.18,49.0,875.0,5.0,4.5,4.33,5.19,5.19,4.76,25.0,-205.0
25,1,2,5,5.0,6895.0,1.14,1.13,1.14,1.16,1.16,1.14,4.0,6920.0,5.5,5.5,5.5,6.46,6.46,5.74,1.0,-25.0
26,1,3,5,127.0,460.0,1.14,1.17,1.14,1.18,1.18,1.16,113.0,510.0,5.5,4.65,5.0,5.8,5.8,5.24,14.0,-50.0
27,1,1,4,90.0,565.0,1.14,1.2,1.2,1.19,1.2,1.18,35.0,1180.0,5.0,4.25,4.33,5.53,5.53,4.78,55.0,-615.0
28,1,2,1,151.0,335.0,1.14,1.17,1.2,1.172,1.2,1.17,55.0,810.0,5.0,4.65,4.333,6.0,6.0,5.0,96.0,-475.0
29,1,3,1,99.0,555.0,1.14,1.15,1.17,1.21,1.21,1.17,87.0,593.0,5.5,5.0,4.5,4.96,5.5,4.99,12.0,-38.0
30,0,1,1,484.0,65.0,1.14,1.2,1.22,1.23,1.23,1.2,76.0,626.0,5.0,4.25,4.0,4.63,5.0,4.47,408.0,-561.0
31,1,1,1,90.0,565.0,1.14,1.18,1.17,1.23,1.23,1.18,67.0,733.0,5.0,4.5,4.5,4.73,5.0,4.68,23.0,-168.0
32,1,1,3,117.0,465.0,1.16,1.23,1.222,1.2,1.23,1.2,63.0,762.0,4.5,3.85,4.0,5.37,5.37,4.43,54.0,-297.0
33,0,1,2,484.0,65.0,1.16,1.2,1.2,1.22,1.22,1.2,113.0,493.0,4.5,4.3,4.33,4.89,4.89,4.51,371.0,-428.0
34,1,1,2,379.0,108.0,1.16,1.25,1.25,1.21,1.25,1.22,239.0,205.0,4.5,3.75,3.75,5.2,5.2,4.3,140.0,-97.0
35,1,1,1,64.0,785.0,1.16,1.22,1.25,1.24,1.25,1.22,43.0,1059.0,4.5,4.0,3.75,4.58,4.58,4.21,21.0,-274.0
36,1,1,1,69.0,675.0,1.16,1.25,1.222,1.211,1.25,1.21,58.0,754.0,4.5,3.75,4.0,5.17,5.17,4.36,11.0,-79.0
